ESTIMULO,PALABRAS,FRECUENCIA,TIEMPO (S),% ASOCIACION,id
abeja,,,,,0
abeja,miel,137,"3,28","498,182",1
abeja,picar,23,"3,71","83,636",2
abeja,picadura,18,"4,21","65,455",3
abeja,reina,8,"3,00","29,091",4
abeja,amarillo,7,"4,78","25,455",5
abeja,flor,6,"2,74","21,818",6
abeja,polen,6,"4,94","21,818",7
abeja,panal,6,"5,18","21,818",8
abeja,zumbido,6,"4,68","21,818",9
abeja,aguijón,5,"5,07","18,182",10
abeja,colmena,5,"4,80","18,182",11
abeja,volar,5,"4,59","18,182",12
abeja,dolor,4,"4,74","14,545",13
abeja,insecto,4,"5,18","14,545",14
abeja,animal,3,"3,51","10,909",15
abeja,avispa,3,"4,97","10,909",16
abeja,mosca,3,"5,25","10,909",17
abeja,raya,2,"6,49","0,7273",18
abeja,alergia,1,"3,93","0,3636",19
abeja,amarillo negro,1,"7,51","0,3636",20
abeja,bicho,1,"3,36","0,3636",21
abeja,campo,1,"3,64","0,3636",22
abeja,dulce,1,"4,81","0,3636",23
abeja,hormiga,1,"3,93","0,3636",24
abeja,jardín,1,"5,32","0,3636",25
abeja,libar,1,"2,47","0,3636",26
abeja,miope,1,"3,50","0,3636",27
abeja,molestia,1,"9,12","0,3636",28
abeja,natación,1,"9,58","0,3636",29
abeja,pequeña,1,"3,88","0,3636",30
abeja,roncha,1,"3,78","0,3636",31
abeja,trabajadora,1,"3,76","0,3636",32
abeja,viaje,1,"2,62","0,3636",33
abeja,vieja,1,"6,21","0,3636",34
abeja,yo,1,"6,78","0,3636",35
abrigo,,,,,36
abrigo,frío,141,"3,32","466,887",37
abrigo,caliente,28,"4,60","92,715",38
abrigo,calor,22,"3,83","72,848",39
abrigo,suéter,12,"5,14","39,735",40
abrigo,tapar,11,"3,68","36,424",41
abrigo,cubrir,9,"5,36","29,801",42
abrigo,invierno,7,"5,99","23,179",43
abrigo,abrigar,6,"4,53","19,868",44
abrigo,cálido,4,"4,24","13,245",45
abrigo,piel,4,"5,10","13,245",46
abrigo,ropa,4,"3,03","13,245",47
abrigo,chamarra,3,"5,54","0,9934",48
abrigo,cobijar,3,"3,77","0,9934",49
abrigo,lana,3,"3,51","0,9934",50
abrigo,calentar,2,"2,85","0,6623",51
abrigo,calentarse,2,"4,43","0,6623",52
abrigo,elegante,2,"4,81","0,6623",53
abrigo,mujer,2,"3,97","0,6623",54
abrigo,peludo,2,"5,62","0,6623",55
abrigo,protección,2,"5,92","0,6623",56
abrigo,proteger,2,"4,45","0,6623",57
abrigo,abrazo,1,"9,55","0,3311",58
abrigo,aire,1,"5,59","0,3311",59
abrigo,bidón,1,"2,94","0,3311",60
abrigo,botón,1,"4,40","0,3311",61
abrigo,chico,1,"3,48","0,3311",62
abrigo,closet,1,"0,00","0,3311",63
abrigo,cobija,1,"6,23","0,3311",64
abrigo,cobijo,1,"4,64","0,3311",65
abrigo,cuidar,1,"3,21","0,3311",66
abrigo,dama,1,"3,61","0,3311",67
abrigo,de piel,1,"3,92","0,3311",68
abrigo,desabrigo,1,"5,55","0,3311",69
abrigo,fino,1,"2,92","0,3311",70
abrigo,gabardina,1,"4,65","0,3311",71
abrigo,grande,1,"5,79","0,3311",72
abrigo,grueso,1,"4,29","0,3311",73
abrigo,mamá,1,"2,93","0,3311",74
abrigo,oso,1,"3,42","0,3311",75
abrigo,pato,1,"6,67","0,3311",76
abrigo,peluche,1,"9,00","0,3311",77
abrigo,persona,1,"3,65","0,3311",78
abrigo,pesado,1,"2,17","0,3311",79
abrigo,resguardo,1,"2,54","0,3311",80
abrigo,saco,1,"2,49","0,3311",81
abrigo,suave,1,"1,67","0,3311",82
abrigo,tela,1,"2,17","0,3311",83
abrigo,verde,1,"4,78","0,3311",84
abrigo,Vogue,1,"6,34","0,3311",85
agua,,,,,86
agua,sed,36,"3,71","130,909",87
agua,beber,24,"3,04","87,273",88
agua,tomar,18,"3,43","65,455",89
agua,vida,18,"3,53","65,455",90
agua,fresca,16,"3,76","58,182",91
agua,fría,12,"3,67","43,636",92
agua,manguera,12,"4,44","43,636",93
agua,limpia,11,"4,57","40,000",94
agua,líquido,8,"4,60","29,091",95
agua,azul,7,"3,92","25,455",96
agua,clara,7,"4,21","25,455",97
agua,potable,7,"4,49","25,455",98
agua,bebida,5,"4,43","18,182",99
agua,pureza,4,"6,03","14,545",100
agua,bañar,3,"4,21","10,909",101
agua,dulce,3,"5,30","10,909",102
agua,hidratación,3,"8,79","10,909",103
agua,limón,3,"5,12","10,909",104
agua,limpieza,3,"6,18","10,909",105
agua,mojar,3,"6,22","10,909",106
agua,salud,3,"6,09","10,909",107
agua,transparente,3,"7,04","10,909",108
agua,casa,2,"4,42","0,7273",109
agua,corriente,2,"5,14","0,7273",110
agua,embotellada,2,"3,82","0,7273",111
agua,hidratar,2,"5,19","0,7273",112
agua,jugo,2,"2,72","0,7273",113
agua,llave,2,"4,35","0,7273",114
agua,lluvia,2,"1,95","0,7273",115
agua,natural,2,"4,81","0,7273",116
agua,necesaria,2,"6,63","0,7273",117
agua,piscina,2,"4,81","0,7273",118
agua,refrescante,2,"4,52","0,7273",119
agua,refresco,2,"4,43","0,7273",120
agua,saludable,2,"5,35","0,7273",121
agua,vital,2,"4,42","0,7273",122
agua,alegría,1,"4,70","0,3636",123
agua,arándano,1,"4,57","0,3636",124
agua,botella,1,"6,06","0,3636",125
agua,caliente,1,"6,90","0,3636",126
agua,correr,1,"1,64","0,3636",127
agua,desperdiciar,1,"6,77","0,3636",128
agua,ecología,1,"4,35","0,3636",129
agua,elemento,1,"5,30","0,3636",130
agua,energía,1,"8,91","0,3636",131
agua,exquisita,1,"7,13","0,3636",132
agua,fluir,1,"3,20","0,3636",133
agua,fresa,1,"5,66","0,3636",134
agua,fruta,1,"5,35","0,3636",135
agua,H2O,1,"4,21","0,3636",136
agua,incolora,1,"6,45","0,3636",137
agua,indispensable,1,"7,73","0,3636",138
agua,ligera,1,"4,34","0,3636",139
agua,litro,1,"2,25","0,3636",140
agua,mar,1,"3,33","0,3636",141
agua,mojarse,1,"2,08","0,3636",142
agua,nutrir,1,"2,91","0,3636",143
agua,pura,1,"4,03","0,3636",144
agua,refrescar,1,"5,47","0,3636",145
agua,río,1,"4,65","0,3636",146
agua,sabor,1,"6,38","0,3636",147
agua,salada,1,"4,50","0,3636",148
agua,sucia,1,"2,88","0,3636",149
agua,tibia,1,"5,84","0,3636",150
agua,tierra,1,"3,74","0,3636",151
agua,vaso,1,"4,28","0,3636",152
agua,verde,1,"3,92","0,3636",153
alberca,,,,,154
alberca,agua,136,"2,93","448,845",155
alberca,nadar,67,"3,20","221,122",156
alberca,diversión,10,"5,20","33,003",157
alberca,vacaciones,10,"4,90","33,003",158
alberca,calor,8,"3,63","26,403",159
alberca,fiesta,5,"5,14","16,502",160
alberca,piscina,5,"5,65","16,502",161
alberca,azul,4,"3,40","13,201",162
alberca,clavado,4,"6,41","13,201",163
alberca,bañar,3,"3,60","0,9901",164
alberca,natación,3,"5,53","0,9901",165
alberca,sol,3,"3,65","0,9901",166
alberca,deporte,2,"4,16","0,6601",167
alberca,traje de baño,2,"5,88","0,6601",168
alberca,alegría,1,"2,15","0,3300",169
alberca,amigos,1,"3,20","0,3300",170
alberca,asa,1,"0,93","0,3300",171
alberca,cariño,1,"2,21","0,3300",172
alberca,chapuzón,1,"0,00","0,3300",173
alberca,cloro,1,"4,87","0,3300",174
alberca,cochera,1,"5,70","0,3300",175
alberca,convivir,1,"7,20","0,3300",176
alberca,desestrés,1,"2,73","0,3300",177
alberca,día,1,"3,58","0,3300",178
alberca,felicidad,1,"3,62","0,3300",179
alberca,fosa,1,"5,04","0,3300",180
alberca,fresco,1,"9,99","0,3300",181
alberca,fría,1,"1,93","0,3300",182
alberca,jardín,1,"4,98","0,3300",183
alberca,miedo,1,"4,14","0,3300",184
alberca,mojado,1,"4,03","0,3300",185
alberca,patio,1,"4,40","0,3300",186
alberca,placer,1,"5,54","0,3300",187
alberca,profunda,1,"7,12","0,3300",188
alberca,refrescante,1,"6,33","0,3300",189
alberca,refrescar,1,"5,56","0,3300",190
alberca,relajación,1,"6,03","0,3300",191
alberca,relajante,1,"9,46","0,3300",192
alberca,relajarse,1,"3,92","0,3300",193
alberca,resbaladilla,1,"6,79","0,3300",194
alberca,salto,1,"2,14","0,3300",195
alberca,tomate,1,"3,57","0,3300",196
alberca,traje,1,"3,24","0,3300",197
alberca,verano,1,"6,42","0,3300",198
alberca,viaje,1,"4,80","0,3300",199
almohada,,,,,200
almohada,dormir,175,"3,13","577,558",201
almohada,cama,50,"3,04","165,017",202
almohada,sueño,12,"4,59","39,604",203
almohada,descanso,11,"5,69","36,304",204
almohada,plumas,8,"3,57","26,403",205
almohada,cobija,5,"3,86","16,502",206
almohada,comodidad,4,"3,74","13,201",207
almohada,suave,4,"3,31","13,201",208
almohada,cómoda,3,"3,36","0,9901",209
almohada,blanda,2,"5,40","0,6601",210
almohada,cabeza,2,"4,92","0,6601",211
almohada,cojín,2,"4,90","0,6601",212
almohada,descansar,2,"3,75","0,6601",213
almohada,sillón,2,"3,06","0,6601",214
almohada,soñar,2,"2,00","0,6601",215
almohada,algodón,1,"8,95","0,3300",216
almohada,azul,1,"5,45","0,3300",217
almohada,cobertor,1,"6,60","0,3300",218
almohada,colchón,1,"2,85","0,3300",219
almohada,confort,1,"0,00","0,3300",220
almohada,confortable,1,"3,81","0,3300",221
